Leaflet Link,Unuseable,Date,Constituency,Party,Leader Picture included,Leader mentioned,Party Logo,"Leaflet Style (Leaflet, Letter, Magazine, Newsletter, Newspaper, CV or Survey)",Opposition leader pictured,Opposition leader mentioned,"squeeze message",Does it include a graph?
https://electionleaflets.org/leaflets/8787,,18/03/2015,Sheffield South East,UKIP,yes,yes,no,survey,no,no,no,no
https://electionleaflets.org/leaflets/8788,,18/03/2015,Folkestone & Hythe,Labour,no,no,no,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8789,,18/03/2015,Folkestone & Hythe,Labour,no,no,no,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8790,,18/03/2015,"Hayes & Harlington
",Labour,no,no,yes,letter,no,no,no,no
https://electionleaflets.org/leaflets/8791,,18/03/2015,Mole Valley,Liberal Democrats,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8792,,18/03/2015,Bristol West,Liberal Democrats,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8793,,18/03/2015,South Swindon,Labour,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8794,,18/03/2015,"Lewisham, Deptford",Democratic Reform,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8795,,18/03/2015,Bolton South East,Green,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8796,,18/03/2015,Skipton & Ripon,Labour,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8797,unuseable,18/03/2015,Bolton South East,Green,no,no,yes,N/a (council leaflet),no,no,no,no
https://electionleaflets.org/leaflets/8798,,18/03/2015,Hastings & Rye,Liberal Democrats,no,no,yes,newsletter,no,no,no,no
https://electionleaflets.org/leaflets/8799,,18/03/2015,Finchley & Golders Green,Labour,no,no,yes,leaflet,no,yes,no,no
https://electionleaflets.org/leaflets/8800,,18/03/2015,Finchley & Golders Green,Labour,no,no,yes,leaflet,no,no,no,no
https://electionleaflets.org/leaflets/8801,,18/03/2015,Stoke-on-Trent South,Conservative,no,no,yes,survey,no,no,no,no
https://electionleaflets.org/leaflets/8802,,18/03/2015,Colchester,Liberal Democrats,no,no,no,leaflet,no,no,yes,no
https://electionleaflets.org/leaflets/8803,,18/03/2015,Stoke-on-Trent South,Independent,yes,yes,yes,newsletter,no,no,no,no
